Country,Yield_mean,Yield_volatility,BestModel,Best_RMSE,Score,Score_norm
Japan,1.6490000000000002,0.033052997594789336,Naive,0.1123454447988886,444.0729663252057,1.0
United Kingdom,4.81133318,0.02993873588972796,Naive,0.415276660388271,386.98528373167466,0.8709452984523578
USA,2.7084749578683285,1.4540554734543836,RandomForest,0.820944785401186,2.26897599065917,0.0012402058575897118
Germany,1.0026841255807506,1.4137015876695065,Naive,0.4122732071869008,1.720367706732509,0.0
